id,title,published_at,url,sentiment_positive,sentiment_neutral,sentiment_negative,dominant_sentiment
3529009,"Apple, Microsoft top Dow 2019 standings; Walgreens wobbles to the bottom",2019-12-31 17:55:11-05:00,https://seekingalpha.com/news/3529009-apple-microsoft-top-dow-2019-standings-walgreens-wobbles-to-the-bottom,0.15211861,0.7736501,0.07423125,Neutral
3528803,Citi sees Apple wearables strength in 2020,2019-12-30 14:33:32-05:00,https://seekingalpha.com/news/3528803-citi-sees-apple-wearables-strength-in-2020,0.0341787,0.015425431,0.9503958,Negative
3528693,Apple 'clear winner' ahead of 5G - Wedbush,2019-12-30 07:38:21-05:00,https://seekingalpha.com/news/3528693-apple-clear-winner-ahead-of-5g-wedbush,0.07520231,0.013181746,0.91161597,Negative
3528095,Wedbush raises Apple on 5G tailwind,2019-12-23 08:16:39-05:00,https://seekingalpha.com/news/3528095-wedbush-raises-apple-on-5g-tailwind,0.7697533,0.02911185,0.20113486,Positive
3528035,Apple works on satellite-to-device tech,2019-12-21 16:19:55-05:00,https://seekingalpha.com/news/3528035-apple-works-on-satellite-to-device-tech,0.93728375,0.01268071,0.050035574,Positive
3527918,Piper raises Apple on early 5G strength,2019-12-20 14:24:13-05:00,https://seekingalpha.com/news/3527918-piper-raises-apple-on-early-5g-strength,0.695651,0.04369622,0.2606527,Positive
3527698,Bernstein sees big 2020 for Apple's AirPods,2019-12-20 07:32:50-05:00,https://seekingalpha.com/news/3527698-bernstein-sees-big-2020-for-apples-airpods,0.19881186,0.023234583,0.7779535,Negative
3527532,"Apple, Samsung phones pass FCC RF radiation test",2019-12-19 15:19:15-05:00,https://seekingalpha.com/news/3527532-apple-samsung-phones-pass-fcc-rf-radiation-test,0.79270935,0.018257244,0.1890334,Positive
3527516,"Apple eyes James Bond, Pac-12 content",2019-12-19 13:54:20-05:00,https://seekingalpha.com/news/3527516-apple-eyes-james-bond-pacminus-12-content,0.94051075,0.0220034,0.03748588,Positive
3526868,Stock buybacks jumped 6.3% in Q3,2019-12-17 12:50:47-05:00,https://seekingalpha.com/news/3526868-stock-buybacks-jumped-6_3-percent-in-q3,0.031912476,0.021711266,0.94637626,Negative
3526734,China iPhone sales dropped in November - Rosenblatt,2019-12-17 08:06:34-05:00,https://seekingalpha.com/news/3526734-china-iphone-sales-dropped-in-november-rosenblatt,0.026794573,0.9659985,0.0072068768,Neutral
3526541,Apple Arcade adds $50 yearly subscription,2019-12-16 13:40:08-05:00,https://seekingalpha.com/news/3526541-apple-arcade-adds-50-yearly-subscription,0.8527279,0.015597216,0.13167495,Positive
3526513,"Apple gains as Cleveland sees iPhone, wearables strength",2019-12-16 12:02:35-05:00,https://seekingalpha.com/news/3526513-apple-gains-as-cleveland-sees-iphone-wearables-strength,0.20580527,0.03779596,0.7563988,Negative
3526430,Apple tops holiday wish lists - Evercore,2019-12-16 09:26:12-05:00,https://seekingalpha.com/news/3526430-apple-tops-holiday-wish-lists-evercore,0.8176591,0.018655976,0.16368495,Positive
3526255,5G iPhone will disappoint in 2020 - Munster,2019-12-13 14:42:42-05:00,https://seekingalpha.com/news/3526255-5g-iphone-will-disappoint-in-2020-munster,0.1733487,0.72860914,0.09804213,Neutral
3526033,Apple buys Spectral Edge for photo tech,2019-12-12 17:14:42-05:00,https://seekingalpha.com/news/3526033-apple-buys-spectral-edge-for-photo-tech,0.86860085,0.011225682,0.12017355,Positive
3525799,November iPhone sales dropped in China - Credit Suisse,2019-12-12 08:01:44-05:00,https://seekingalpha.com/news/3525799-november-iphone-sales-dropped-in-china-credit-suisse,0.019991249,0.97323495,0.0067737913,Neutral
3525612,5G iPhone won't have major price increase - analyst,2019-12-11 13:37:20-05:00,https://seekingalpha.com/news/3525612-5g-iphone-wont-have-major-price-increase-analyst,0.45838293,0.014702564,0.52691454,Negative
3525509,"Apple raised on holiday sales, 5G expectations",2019-12-11 09:25:35-05:00,https://seekingalpha.com/news/3525509-apple-raised-on-holiday-sales-5g-expectations,0.60425633,0.03738042,0.3583632,Positive
3525271,"Max out Apple's Mac Pro for $52,599",2019-12-10 15:40:51-05:00,https://seekingalpha.com/news/3525271-max-out-apples-mac-pro-for-52599,0.74847853,0.019889742,0.23163174,Positive
3525175,Apple's iPhone 11 seeing strong holiday demand,2019-12-10 10:24:45-05:00,https://seekingalpha.com/news/3525175-apples-iphone-11-seeing-strong-holiday-demand,0.029026793,0.027906848,0.9430664,Negative
